cidade;uf;tempo;temperatura;temperatura_max;temperatura_min;nebulosidade;umidade;vento;horario_por_sol;pesca;melhor_horario_pesca;altura_maior_onda;data
Angra dos Reis;RJ;céu parcialmente nublado [emoji_nuvem];27;27;27;33;78;21;18:26;Bom;21:54 - 23:54;1,0;28/02/2022
Aracaju;SE;céu parcialmente nublado [emoji_nuvem];27;28;27;13;64;23;17:50;Bom;21:23 - 23:23;2,1;28/02/2022
Arraial do Cabo;RJ;céu parcialmente nublado [emoji_nuvem];24;26;24;15;81;37;18:17;Bom;21:45 - 23:45;1,0;28/02/2022
Balneário Camboriu;SC;céu parcialmente nublado [emoji_nuvem];26;26;26;14;81;23;18:46;Bom;22:13 - 12:13;0,9;28/02/2022
Barreirinhas;MA;céu parcialmente nublado [emoji_nuvem];28;28;28;19;76;39;18:06;Bom;21:44 - 23:44;2,3;28/02/2022
Bertioga;SP;céu parcialmente nublado [emoji_nuvem];27;27;27;46;74;17;18:34;Bom;22:03 - 12:03;1,6;28/02/2022
Bombinhas;SC;céu parcialmente nublado [emoji_nuvem];27;27;27;17;77;28;18:46;Bom;22:13 - 12:13;0,8;28/02/2022
Búzios;RJ;céu parcialmente nublado [emoji_nuvem];24;26;24;6;80;35;18:16;Bom;21:45 - 23:45;1,1;28/02/2022
Cabo Frio;RJ;céu parcialmente nublado [emoji_nuvem];24;26;24;15;81;37;18:17;Bom;21:45 - 23:45;1,0;28/02/2022
Enseada;SP;céu parcialmente nublado [emoji_nuvem];25;25;25;13;79;24;18:29;Bom;21:57 - 23:57;1,1;28/02/2022
Fernando de Noronha;PE;céu parcialmente nublado [emoji_nuvem];27;27;27;63;74;23;18:27;Bom;22:04 - 12:04;2,1;28/02/2022
Florianópolis;SC;chuva forte ou moderada;26;29;26;67;83;36;18:47;Bom;22:13 - 12:13;0,8;28/02/2022
Fortaleza;CE;céu parcialmente nublado [emoji_nuvem];27;28;27;5;69;32;17:52;Bom;21:29 - 23:29;2,2;28/02/2022
Guarujá;SP;céu parcialmente nublado [emoji_nuvem];27;27;27;46;74;17;18:35;Bom;22:03 - 12:03;1,6;28/02/2022
Ilha Bela;SP;céu parcialmente nublado [emoji_nuvem];26;26;26;5;81;18;18:31;Bom;21:59 - 23:59;1,1;28/02/2022
Ilhéus;BA;períodos de chuva ao longo do dia [emoji_chuva];27;27;27;84;70;15;18:00;Bom;21:32 - 23:32;2,1;28/02/2022
Itanhaém;SP;céu parcialmente nublado [emoji_nuvem];27;27;27;21;79;14;18:35;Bom;22:04 - 12:04;1,6;28/02/2022
Jaboatão dos Guararapes;PE;chuva fraca;27;28;27;68;74;26;17:40;Bom;21:14 - 23:14;2,1;28/02/2022
Jijoca de Jericoacoara;CE;céu parcialmente nublado [emoji_nuvem];27;29;27;11;77;35;18:01;Bom;21:39 - 23:39;2,3;28/02/2022
João Pessoa;PB;chuva fraca;27;28;27;51;73;22;17:39;Bom;21:14 - 23:14;2,1;28/02/2022
Lagoinha;SP;chuva forte ou moderada;26;29;26;67;83;36;18:47;Bom;22:13 - 12:13;0,8;28/02/2022
Lauro de Freitas;BA;céu parcialmente nublado [emoji_nuvem];27;28;27;36;68;18;17:57;Bom;21:29 - 23:29;2,1;28/02/2022
Macaé;RJ;céu parcialmente nublado [emoji_nuvem];26;26;26;1;76;25;18:16;Bom;21:44 - 23:44;1,1;28/02/2022
Macapá;AP;céu parcialmente nublado [emoji_nuvem];28;28;28;15;74;15;18:38;Bom;22:19 - 12:19;4,7;28/02/2022
