cidade;uf;tempo;temperatura;temperatura_max;temperatura_min;nebulosidade;umidade;vento;horario_por_sol;pesca;melhor_horario_pesca;altura_maior_onda;data
Maceió;AL;períodos de chuva ao longo do dia [emoji_chuva];28;28;28;72;71;18;17:44;Bom;21:18 - 23:18;2,1;28/02/2022
Marechal Deodoro;AL;céu parcialmente nublado [emoji_nuvem];28;28;28;46;71;18;17:44;Bom;21:18 - 23:18;2,1;28/02/2022
Morro de São Paulo;BA;céu parcialmente nublado [emoji_nuvem];27;27;27;20;69;19;17:59;Bom;21:31 - 23:31;2,1;28/02/2022
Natal;RN;céu parcialmente nublado [emoji_nuvem];28;29;28;50;70;24;17:40;Bom;21:15 - 23:15;2,1;28/02/2022
Niterói;RJ;céu parcialmente nublado [emoji_nuvem];27;27;27;2;71;9;18:22;Bom;21:50 - 23:50;1,1;28/02/2022
Olinda;PE;chuva fraca;27;28;27;68;74;26;17:40;Bom;21:14 - 23:14;2,1;28/02/2022
Paranaguá;PR;céu parcialmente nublado [emoji_nuvem];26;27;26;4;79;14;18:45;Bom;22:12 - 12:12;1,2;28/02/2022
Paraty;RJ;céu parcialmente nublado [emoji_nuvem];25;25;25;13;79;24;18:29;Bom;21:57 - 23:57;1,1;28/02/2022
Parnaíba;PI;céu parcialmente nublado [emoji_nuvem];27;28;27;12;74;35;18:04;Bom;21:42 - 23:42;2,3;28/02/2022
Pedra Grande;RN;céu parcialmente nublado [emoji_nuvem];28;28;28;33;68;17;17:42;Bom;21:15 - 23:15;2,1;28/02/2022
Peruíbe;SP;céu parcialmente nublado [emoji_nuvem];27;27;27;21;79;14;18:35;Bom;22:04 - 12:04;1,6;28/02/2022
Ponta Negra;RN;céu parcialmente nublado [emoji_nuvem];28;29;28;50;70;24;17:40;Bom;21:15 - 23:15;2,1;28/02/2022
Porto de Galinhas;PE;chuva fraca;28;28;28;58;73;22;17:41;Bom;21:14 - 23:14;2,1;28/02/2022
Porto Seguro;BA;céu parcialmente nublado [emoji_nuvem];27;27;27;30;70;27;18:01;Bom;21:32 - 23:32;2,1;28/02/2022
Praia Grande;SP;céu parcialmente nublado [emoji_nuvem];27;27;27;21;79;14;18:35;Bom;22:04 - 12:04;1,6;28/02/2022
Recife;PE;chuva fraca;27;28;27;68;74;26;17:40;Bom;21:14 - 23:14;2,1;28/02/2022
Rio das Ostras;RJ;céu parcialmente nublado [emoji_nuvem];26;26;26;1;76;25;18:16;Bom;21:44 - 23:44;1,1;28/02/2022
Rio de Janeiro;RJ;céu parcialmente nublado [emoji_nuvem];27;27;27;2;71;9;18:22;Bom;21:50 - 23:50;1,1;28/02/2022
Salvador;BA;céu parcialmente nublado [emoji_nuvem];27;27;27;29;69;18;17:58;Bom;21:30 - 23:30;2,1;28/02/2022
Santos;SP;céu parcialmente nublado [emoji_nuvem];27;27;27;46;74;17;18:35;Bom;22:03 - 12:03;1,6;28/02/2022
São Luis;MA;períodos de chuva ao longo do dia [emoji_chuva];27;27;27;77;84;31;18:15;Bom;21:53 - 23:53;5,2;28/02/2022
São Mateus;ES;muito sol [emoji_sol];26;27;26;0;68;19;18:05;Bom;21:35 - 23:35;2,1;28/02/2022
São Sebastião;SP;céu parcialmente nublado [emoji_nuvem];26;26;26;5;81;18;18:31;Bom;21:59 - 23:59;1,1;28/02/2022
Tibau do Sul;RN;céu parcialmente nublado [emoji_nuvem];27;28;27;72;76;26;17:39;Bom;21:14 - 23:14;2,1;28/02/2022
Ubatuba;SP;céu parcialmente nublado [emoji_nuvem];25;25;25;13;79;24;18:29;Bom;21:57 - 23:57;1,1;28/02/2022
Vila Velha;ES;muito sol [emoji_sol];26;27;26;0;72;22;18:09;Bom;21:38 - 23:38;1,4;28/02/2022
