cidade;uf;tempo;temperatura;temperatura_max;temperatura_min;nebulosidade;umidade;vento;horario_por_sol;pesca;melhor_horario_pesca;altura_maior_onda;data
Jaboatão dos Guararapes;PE;períodos de chuva ao longo do dia [emoji_chuva];27;28;27;76;79;30;5:47pm;Excelente;10:31pm - 12:31am;2.2;31/01/2022
Jijoca de Jericoacoara;CE;céu nublado [emoji_nuvem];26;28;26;63;82;35;6:04pm;Excelente;10:56pm - 12:56am;2.5;31/01/2022
João Pessoa;PB;períodos de chuva ao longo do dia [emoji_chuva];27;28;27;81;76;16;5:45pm;Excelente;10:31pm - 12:31am;2.2;31/01/2022
Lagoinha;SP;céu parcialmente nublado [emoji_nuvem];21;27;21;41;79;9;7:09pm;Excelente;11:30pm - 1:30am;0.8;31/01/2022
Lauro de Freitas;BA;períodos de chuva ao longo do dia [emoji_chuva];27;28;27;83;81;28;6:07pm;Excelente;10:47pm - 12:47am;0.3;31/01/2022
Macaé;RJ;céu nublado;23;27;23;60;97;14;6:33pm;Excelente;11:01pm - 1:01am;0.5;31/01/2022
Macapá;AP;períodos de chuva ao longo do dia [emoji_chuva];23;26;23;75;93;18;6:39pm;Excelente;11:37pm - 1:37am;7.8;31/01/2022
Maceió;AL;períodos de chuva ao longo do dia [emoji_chuva];26;27;26;83;78;24;5:52pm;Excelente;10:35pm - 12:35am;2.2;31/01/2022
Marechal Deodoro;AL;períodos de chuva ao longo do dia [emoji_chuva];26;27;26;75;78;24;5:52pm;Excelente;10:35pm - 12:35am;2.2;31/01/2022
Morro de São Paulo;BA;céu parcialmente nublado [emoji_nuvem];27;28;27;53;81;31;6:09pm;Excelente;10:48pm - 12:48am;0.4;31/01/2022
Natal;RN;períodos de chuva ao longo do dia [emoji_chuva];26;29;26;71;79;19;5:45pm;Excelente;10:32pm - 12:32am;2.2;31/01/2022
Niterói;RJ;chuvas leves [emoji_chuva_sol];23;24;23;70;94;5;6:40pm;Excelente;11:07pm - 1:07am;1.2;31/01/2022
Olinda;PE;períodos de chuva ao longo do dia [emoji_chuva];27;28;27;76;79;30;5:47pm;Excelente;10:31pm - 12:31am;2.2;31/01/2022
Paranaguá;PR;chuvas leves [emoji_chuva_sol];23;26;23;100;88;18;7:05pm;Excelente;11:30pm - 1:30am;1.2;31/01/2022
Paraty;RJ;períodos de chuva ao longo do dia [emoji_chuva];22;23;22;79;89;15;6:48pm;Excelente;11:14pm - 1:14am;1.2;31/01/2022
Parnaíba;PI;céu parcialmente nublado [emoji_nuvem];26;28;26;60;79;37;6:07pm;Excelente;10:59pm - 12:59am;2.4;31/01/2022
Pedra Grande;RN;períodos de chuva ao longo do dia [emoji_chuva];25;28;25;76;82;16;5:49pm;Excelente;10:33pm - 12:33am;2.2;31/01/2022
Peruíbe;SP;céu nublado [emoji_nuvem];24;25;24;70;80;8;6:55pm;Excelente;11:21pm - 1:21am;1.6;31/01/2022
Ponta Negra;RN;períodos de chuva ao longo do dia [emoji_chuva];26;29;26;71;79;19;5:45pm;Excelente;10:32pm - 12:32am;2.2;31/01/2022
Porto de Galinhas;PE;períodos de chuva ao longo do dia [emoji_chuva];26;28;26;75;79;22;5:48pm;Excelente;10:32pm - 12:32am;2.2;31/01/2022
Porto Seguro;BA;períodos de chuva ao longo do dia [emoji_chuva];25;28;25;78;88;33;6:14pm;Excelente;10:50pm - 12:50am;1.2;31/01/2022
Praia Grande;SP;céu nublado [emoji_nuvem];24;25;24;70;80;8;6:55pm;Excelente;11:21pm - 1:21am;1.6;31/01/2022
Recife;PE;períodos de chuva ao longo do dia [emoji_chuva];27;28;27;76;79;30;5:47pm;Excelente;10:31pm - 12:31am;2.2;31/01/2022
Rio das Ostras;RJ;céu nublado;23;27;23;60;97;14;6:33pm;Excelente;11:01pm - 1:01am;0.5;31/01/2022
Rio de Janeiro;RJ;chuvas leves [emoji_chuva_sol];23;24;23;70;94;5;6:40pm;Excelente;11:07pm - 1:07am;1.2;31/01/2022
Salvador;BA;céu parcialmente nublado [emoji_nuvem];26;27;26;52;85;28;6:08pm;Excelente;10:48pm - 12:48am;0.3;31/01/2022
Santos;SP;céu parcialmente nublado [emoji_nuvem];24;24;24;58;77;10;6:54pm;Excelente;11:20pm - 1:20am;1.6;31/01/2022
São Luis;MA;períodos de chuva ao longo do dia [emoji_chuva];24;27;24;72;88;32;6:18pm;Excelente;11:11pm - 1:11am;5.6;31/01/2022
São Mateus;ES;períodos de chuva ao longo do dia [emoji_chuva];26;27;26;80;86;43;6:20pm;Excelente;10:53pm - 12:53am;2.2;31/01/2022
São Sebastião;SP;céu parcialmente nublado [emoji_nuvem];24;24;24;50;80;22;6:50pm;Excelente;11:16pm - 1:16am;1.1;31/01/2022
Tibau do Sul;RN;períodos de chuva ao longo do dia [emoji_chuva];27;28;27;89;76;22;5:45pm;Excelente;10:32pm - 12:32am;2.2;31/01/2022
Ubatuba;SP;períodos de chuva ao longo do dia [emoji_chuva];22;23;22;79;89;15;6:48pm;Excelente;11:14pm - 1:14am;1.2;31/01/2022
Vila Velha;ES;céu parcialmente nublado [emoji_nuvem];26;28;26;20;87;29;6:25pm;Excelente;10:55pm - 12:55am;1.5;31/01/2022
