cidade;uf;tempo;temperatura;temperatura_max;temperatura_min;nebulosidade;umidade;vento;horario_por_sol;pesca;melhor_horario_pesca;altura_maior_onda;data
Angra dos Reis;RJ;chuvas leves [emoji_chuva_sol];24;24;24;75;86;17;6:45pm;Excelente;11:12pm - 1:12am;1.0;31/01/2022
Aracaju;SE;períodos de chuva ao longo do dia [emoji_chuva];27;28;27;74;80;21;5:59pm;Excelente;10:41pm - 12:41am;1.0;31/01/2022
Arraial do Cabo;RJ;chuvas leves [emoji_chuva_sol];23;24;23;100;94;18;6:35pm;Excelente;11:02pm - 1:02am;1.1;31/01/2022
Balneário Camboriu;SC;períodos de chuva ao longo do dia [emoji_chuva];22;25;22;100;81;14;7:08pm;Excelente;11:30pm - 1:30am;0.9;31/01/2022
Barreirinhas;MA;céu parcialmente nublado [emoji_nuvem];27;27;27;28;72;37;6:09pm;Excelente;11:02pm - 1:02am;2.5;31/01/2022
Bertioga;SP;céu parcialmente nublado [emoji_nuvem];24;24;24;58;77;10;6:54pm;Excelente;11:20pm - 1:20am;1.6;31/01/2022
Bombinhas;SC;céu nublado [emoji_nuvem];22;26;22;100;78;12;7:08pm;Excelente;11:30pm - 1:30am;0.9;31/01/2022
Búzios;RJ;chuvas leves [emoji_chuva_sol];23;24;23;71;94;19;6:34pm;Excelente;11:02pm - 1:02am;0.5;31/01/2022
Cabo Frio;RJ;chuvas leves [emoji_chuva_sol];23;24;23;100;94;18;6:35pm;Excelente;11:02pm - 1:02am;1.1;31/01/2022
Enseada;SP;períodos de chuva ao longo do dia [emoji_chuva];22;23;22;79;89;15;6:48pm;Excelente;11:14pm - 1:14am;1.1;31/01/2022
Fernando de Noronha;PE;céu parcialmente nublado [emoji_nuvem];27;28;27;43;73;35;6:31pm;Excelente;11:21pm - 1:21am;2.2;31/01/2022
Florianópolis;SC;céu parcialmente nublado [emoji_nuvem];21;27;21;41;79;9;7:09pm;Excelente;11:30pm - 1:30am;0.8;31/01/2022
Fortaleza;CE;céu nublado [emoji_nuvem];27;28;27;72;80;28;5:56pm;Excelente;10:46pm - 12:46am;2.4;31/01/2022
Guarujá;SP;céu parcialmente nublado [emoji_nuvem];24;24;24;58;77;10;6:54pm;Excelente;11:20pm - 1:20am;1.6;31/01/2022
Ilha Bela;SP;céu parcialmente nublado [emoji_nuvem];24;24;24;50;80;22;6:50pm;Excelente;11:16pm - 1:16am;1.1;31/01/2022
Ilhéus;BA;céu nublado [emoji_nuvem];24;28;24;68;90;23;6:12pm;Excelente;10:50pm - 12:50am;2.2;31/01/2022
Itanhaém;SP;céu nublado [emoji_nuvem];24;25;24;70;80;8;6:55pm;Excelente;11:21pm - 1:21am;1.6;31/01/2022
