cidade;uf;tempo;temperatura;temperatura_max;temperatura_min;nebulosidade;umidade;vento;horario_por_sol;pesca;melhor_horario_pesca;altura_maior_onda;data
Barreirinhas;MA;chuva fraca;26;26;26;100;83;27;18:03;Mediano;11:57 - 13:57;1,8;11/03/2022
Fernando de Noronha;PE;períodos de chuva ao longo do dia [emoji_chuva];26;27;26;87;82;27;18:24;Mediano;24:18 - 14:18;0,9;11/03/2022
Fortaleza;CE;chuva fraca;26;27;26;77;86;29;17:48;Mediano;11:43 - 13:43;1,7;11/03/2022
Jijoca de Jericoacoara;CE;chuva fraca;27;27;27;80;82;28;17:58;Mediano;11:51 - 13:51;1,0;11/03/2022
Macapá;AP;períodos de chuva ao longo do dia [emoji_chuva];22;24;22;71;96;18;18:36;Mediano;24:26 - 14:26;3,8;11/03/2022
Parnaíba;PI;chuva fraca;27;27;27;88;82;28;18:01;Mediano;11:54 - 13:54;1,8;11/03/2022
São Luis;MA;chuva fraca;24;25;24;73;89;13;18:11;Mediano;24:05 - 14:05;4,2;11/03/2022
