cidade;uf;tempo;temperatura;temperatura_max;temperatura_min;nebulosidade;umidade;vento;horario_por_sol;pesca;melhor_horario_pesca;altura_maior_onda;data
Angra dos Reis;RJ;céu parcialmente nublado [emoji_nuvem];24;26;24;52;83;8;18:27;Mediano;20:56 - 22:56;0,9;27/02/2022
Aracaju;SE;céu parcialmente nublado [emoji_nuvem];27;28;27;63;69;23;17:51;Mediano;20:25 - 22:25;1,9;27/02/2022
Arraial do Cabo;RJ;céu parcialmente nublado [emoji_nuvem];24;26;24;23;89;22;18:18;Mediano;20:47 - 22:47;1,0;27/02/2022
Balneário Camboriu;SC;períodos de chuva ao longo do dia [emoji_chuva];24;26;24;72;88;17;18:47;Mediano;21:14 - 23:14;0,8;27/02/2022
Barreirinhas;MA;períodos de chuva ao longo do dia [emoji_chuva];28;28;28;62;78;40;18:07;Mediano;20:46 - 22:46;2,2;27/02/2022
Bertioga;SP;céu parcialmente nublado [emoji_nuvem];26;26;26;28;80;20;18:35;Mediano;21:04 - 23:04;1,5;27/02/2022
Bombinhas;SC;chuva fraca;24;26;24;67;91;16;18:47;Mediano;21:14 - 23:14;0,8;27/02/2022
Búzios;RJ;céu parcialmente nublado [emoji_nuvem];24;25;24;23;90;25;18:17;Mediano;20:46 - 22:46;1,1;27/02/2022
Cabo Frio;RJ;céu parcialmente nublado [emoji_nuvem];24;26;24;23;89;22;18:18;Mediano;20:47 - 22:47;1,0;27/02/2022
Enseada;SP;céu parcialmente nublado [emoji_nuvem];23;24;23;36;88;19;18:30;Mediano;20:59 - 22:59;1,0;27/02/2022
Fernando de Noronha;PE;céu parcialmente nublado [emoji_nuvem];27;27;27;59;76;33;18:28;Mediano;21:05 - 23:05;1,9;27/02/2022
Florianópolis;SC;chuva fraca;23;27;23;67;94;17;18:48;Mediano;21:14 - 23:14;0,7;27/02/2022
Fortaleza;CE;céu parcialmente nublado [emoji_nuvem];27;28;27;64;77;27;17:52;Mediano;20:31 - 22:31;2,1;27/02/2022
Guarujá;SP;céu parcialmente nublado [emoji_nuvem];26;26;26;28;80;20;18:36;Mediano;21:05 - 23:05;1,5;27/02/2022
Ilha Bela;SP;céu parcialmente nublado [emoji_nuvem];26;26;26;41;82;28;18:32;Mediano;21:01 - 23:01;1,0;27/02/2022
Ilhéus;BA;chuva fraca;23;28;23;96;85;23;18:01;Mediano;20:34 - 22:34;1,9;27/02/2022
Itanhaém;SP;céu parcialmente nublado [emoji_nuvem];26;26;26;58;81;31;18:36;Mediano;21:05 - 23:05;1,5;27/02/2022
Jaboatão dos Guararapes;PE;períodos de chuva ao longo do dia [emoji_chuva];27;28;27;57;78;24;17:40;Mediano;20:16 - 22:16;1,9;27/02/2022
Jijoca de Jericoacoara;CE;céu parcialmente nublado [emoji_nuvem];27;28;27;38;83;40;18:01;Mediano;20:41 - 22:41;2,2;27/02/2022
João Pessoa;PB;céu parcialmente nublado [emoji_nuvem];26;28;26;47;75;18;17:40;Mediano;20:16 - 22:16;1,9;27/02/2022
Lagoinha;SP;chuva fraca;23;27;23;67;94;17;18:48;Mediano;21:14 - 23:14;0,7;27/02/2022
Lauro de Freitas;BA;céu parcialmente nublado [emoji_nuvem];27;28;27;25;65;28;17:58;Mediano;20:31 - 22:31;1,9;27/02/2022
Macaé;RJ;névoa;22;26;22;27;94;18;18:17;Mediano;20:46 - 22:46;1,1;27/02/2022
Macapá;AP;céu parcialmente nublado [emoji_nuvem];24;27;24;60;93;23;18:39;Mediano;21:21 - 23:21;4,4;27/02/2022
Maceió;AL;chuva fraca;26;28;26;80;77;27;17:45;Mediano;20:19 - 22:19;1,9;27/02/2022
Marechal Deodoro;AL;chuva fraca;26;28;26;80;77;27;17:45;Mediano;20:20 - 22:20;1,9;27/02/2022
Morro de São Paulo;BA;períodos de chuva ao longo do dia [emoji_chuva];27;28;27;72;70;28;17:59;Mediano;20:33 - 22:33;1,9;27/02/2022
Natal;RN;céu parcialmente nublado [emoji_nuvem];26;28;26;47;74;23;17:40;Mediano;20:17 - 22:17;1,9;27/02/2022
Niterói;RJ;céu parcialmente nublado [emoji_nuvem];24;27;24;20;87;11;18:22;Mediano;20:51 - 22:51;1,1;27/02/2022
Olinda;PE;períodos de chuva ao longo do dia [emoji_chuva];27;28;27;57;78;24;17:40;Mediano;20:16 - 22:16;1,9;27/02/2022
Paranaguá;PR;céu nublado [emoji_nuvem];26;27;26;90;74;24;18:46;Mediano;21:14 - 23:14;1,1;27/02/2022
Paraty;RJ;céu parcialmente nublado [emoji_nuvem];23;24;23;36;88;19;18:30;Mediano;20:59 - 22:59;1,1;27/02/2022
Parnaíba;PI;céu parcialmente nublado [emoji_nuvem];27;28;27;24;80;42;18:04;Mediano;20:44 - 22:44;2,1;27/02/2022
Pedra Grande;RN;chuva fraca;25;28;25;54;82;19;17:42;Mediano;20:17 - 22:17;1,9;27/02/2022
Peruíbe;SP;céu parcialmente nublado [emoji_nuvem];26;26;26;58;81;31;18:36;Mediano;21:05 - 23:05;1,5;27/02/2022
Ponta Negra;RN;céu parcialmente nublado [emoji_nuvem];26;28;26;47;74;23;17:40;Mediano;20:17 - 22:17;1,9;27/02/2022
Porto de Galinhas;PE;períodos de chuva ao longo do dia [emoji_chuva];26;28;26;62;78;23;17:41;Mediano;20:16 - 22:16;1,9;27/02/2022
Porto Seguro;BA;períodos de chuva ao longo do dia [emoji_chuva];26;27;26;86;78;21;18:02;Mediano;20:34 - 22:34;1,9;27/02/2022
Praia Grande;SP;céu parcialmente nublado [emoji_nuvem];26;26;26;58;81;31;18:36;Mediano;21:05 - 23:05;1,5;27/02/2022
Recife;PE;períodos de chuva ao longo do dia [emoji_chuva];27;28;27;57;78;24;17:40;Mediano;20:16 - 22:16;1,9;27/02/2022
Rio das Ostras;RJ;névoa;22;26;22;27;94;18;18:17;Mediano;20:46 - 22:46;1,1;27/02/2022
Rio de Janeiro;RJ;céu parcialmente nublado [emoji_nuvem];24;27;24;20;87;11;18:23;Mediano;20:52 - 22:52;1,1;27/02/2022
Salvador;BA;céu parcialmente nublado [emoji_nuvem];27;28;27;31;67;28;17:58;Mediano;20:32 - 22:32;1,9;27/02/2022
Santos;SP;céu parcialmente nublado [emoji_nuvem];26;26;26;28;80;20;18:36;Mediano;21:05 - 23:05;1,5;27/02/2022
São Luis;MA;períodos de chuva ao longo do dia [emoji_chuva];26;28;26;74;88;24;18:15;Mediano;20:55 - 22:55;4,9;27/02/2022
São Mateus;ES;céu parcialmente nublado [emoji_nuvem];25;27;25;63;81;23;18:06;Mediano;20:37 - 22:37;1,9;27/02/2022
São Sebastião;SP;céu parcialmente nublado [emoji_nuvem];26;26;26;41;82;28;18:32;Mediano;21:01 - 23:01;1,0;27/02/2022
Tibau do Sul;RN;céu parcialmente nublado [emoji_nuvem];27;28;27;54;74;26;17:40;Mediano;20:16 - 22:16;1,9;27/02/2022
Ubatuba;SP;céu parcialmente nublado [emoji_nuvem];23;24;23;36;88;19;18:30;Mediano;20:59 - 22:59;1,1;27/02/2022
Vila Velha;ES;céu parcialmente nublado [emoji_nuvem];25;27;25;55;81;4;18:09;Mediano;20:39 - 22:39;1,3;27/02/2022
