cidade;uf;qtd_navios_porto;qtd_navios_chegando
Santos;SP;111;151
Rio de Janeiro;RJ;120;39
Paranaguá;PR;62;46
Itapoá;SC;4;2
Rio Grande;RS;62;34
Suape;PE;18;19
Itajaí;SC;34;4
