cidade;uf;qtd_navios_porto;qtd_navios_chegando;status
Santos;SP;92;145;1
Rio de Janeiro;RJ;124;42;1
Paranaguá;PR;48;25;1
Rio Grande;RS;51;32;1
Suape;PE;17;16;1
Itajaí;SC;22;4;1
