cidade;uf;qtd_navios_porto;qtd_navios_chegando;status
Santos;SP;115;175;1
Rio de Janeiro;RJ;126;35;1
Paranaguá;PR;52;47;1
Rio Grande;RS;48;27;1
Suape;PE;23;13;1
Itajaí;SC;27;4;1
