cidade;uf;qtd_navios_porto;qtd_navios_chegando;status
Santos;SP;101;144;1
Rio de Janeiro;RJ;118;52;1
Paranaguá;PR;45;45;1
Itapoá;SC;3;3;1
Rio Grande;RS;36;17;1
Suape;PE;17;22;1
