cidade;uf;qtd_navios_porto;qtd_navios_chegando;status
Santos;SP;104;181;1
Rio de Janeiro;RJ;111;48;1
Paranaguá;PR;48;53;1
Rio Grande;RS;47;20;1
Suape;PE;26;26;1
Itajaí;SC;20;2;1
