cidade;uf;qtd_navios_porto;qtd_navios_chegando;status
Santos;SP;103;127;1
Rio de Janeiro;RJ;123;43;1
Paranaguá;PR;45;48;1
Itapoá;SC;2;2;1
Rio Grande;RS;46;21;1
Suape;PE;21;14;1
Itajaí;SC;23;4;1
