cidade;uf;qtd_navios_porto;qtd_navios_chegando;status
Santos;SP;101;134;0
Rio de Janeiro;RJ;133;43;0
Paranaguá;PR;46;45;0
Itapoá;SC;2;2;0
Rio Grande;RS;49;21;0
Suape;PE;22;12;0
Itajaí;SC;23;4;0
