cidade;uf;qtd_navios_porto;qtd_navios_chegando;status
Santos;SP;102;133;1
Rio de Janeiro;RJ;121;47;1
Paranaguá;PR;46;48;0
Itapoá;SC;6;2;1
Rio Grande;RS;35;21;1
Suape;PE;19;16;1
Itajaí;SC;22;5;1
