cidade;uf;qtd_navios_porto;qtd_navios_chegando;status
Santos;SP;104;169;0
Rio de Janeiro;RJ;133;33;0
Paranaguá;PR;58;49;0
Itapoá;SC;2;3;0
Rio Grande;RS;57;23;0
Suape;PE;24;17;0
Itajaí;SC;25;4;0
