temperatura
5
21
21
20
21
21
21
3
23
22
1
22
8
3
2
23
22
6
1
3
4
7
22
23
21
24
8
1
21
21
2
21
21
6
1
4
26
4
23
23
23
6
22
22
3
21
2
22
5
22
21
3
22
22
21
21
21
21
22
21
21
8
21
21
21
1
1
21
3
7
1
21
21
21
20
20
20
23
3
4
2
21
2
22
22
5
7
6
5
9
4
8
25
7
24
8
21
21
8
21
21
24
8
21
21
2
25
22
22
9
2
1
7
4
23
8
1
5
3
23
23
23
8
5
23
3
3
24
23
2
8
3
5
3
2
25
8
7
2
3
22
6
2
22
21
22
22
22
22
5
22
22
26
22
3
2
3
4
2
7
3
31
25
3
8
3
22
22
9
6
28
21
5
22
22
22
22
23
3
1
3
8
7
5
4
1
6
24
9
1
3
24
24
24
24
24
24
24
24
23
23
2
6
2
5
5
8
3
24
5
2
24
7
24
26
23
24
23
23
23
5
3
2
7
26
7
6
23
4
25
1
8
8
7
25
24
5
23
26
5
23
23
23
7
6
4
23
21
21
1
5
1
23
3
7
6
24
5
6
1
7
26
21
21
6
1
4
22
21
22
22
21
5
1
1
5
22
6
1
2
7
8
6
5
8
5
20
2
21
21
20
20
20
20
9
21
5
9
2
4
21
8
6
22
3
3
1
8
4
4
3
19
19
19
19
9
22
9
8
6
3
20
9
19
4
5
9
5
27
21
5
20
5
1
6
19
21
3
19
19
20
21
8
9
21
20
20
5
7
7
8
5
8
1
7
1
5
4
2
19
19
8
20
20
20
19
19
19
19
5
5
3
20
9
6
4
1
6
6
20
2
8
3
21
20
20
19
19
19
19
19
19
19
1
3
5
1
9
6
3
2
3
4
4
8
19
19
19
19
19
20
19
19
19
18
18
3
3
4
8
9
33
3
9
9
18
28
18
7
3
7
6
19
22
25
19
19
18
19
19
19
7
19
3
7
8
20
5
9
21
1
21
22
25
2
21
19
20
21
6
21
4
1
3
21
6
9
3
1
22
4
5
9
2
3
8
25
3
9
20
21
2
21
21
20
20
20
20
23
23
26
2
3
1
7
22
7
2
7
8
21
2
8
21
21
21
21
21
5
21
20
20
20
7
6
21
22
4
4
6
2
21
7
21
3
6
20
4
9
6
5
5
5
20
21
23
24
20
1
6
21
7
8
2
9
3
20
2
3
1
4
9
19
22
19
19
19
18
19
23
7
23
20
2
7
20
19
3
5
5
5
2
3
20
1
22
6
19
19
19
20
8
19
20
19
1
5
4
7
3
9
8
2
20
8
6
9
19
7
2
20
24
20
20
26
5
7
20
20
6
7
3
4
27
28
27
26
21
9
20
20
6
7
20
20
20
20
19
20
9
19
19
19
1
4
8
2
2
3
34
20
6
8
6
2
19
4
19
29
7
18
18
18
18
18
18
17
5
4
17
4
5
7
5
19
8
1
3
9
7
4
18
19
19
6
20
20
19
19
20
20
6
2
3
6
18
4
8
28
1
20
8
19
1
19
20
20
20
20
19
4
20
20
20
9
20
7
5
5
9
9
8
20
4
5
3
19
2
6
19
19
19
19
19
19
25
3
19
20
9
1
7
19
18
2
5
8
19
19
5
9
8
9
18
8
23
18
18
19
20
19
19
20
3
5
5
1
26
3
2
3
2
9
4
8
1
27
18
2
3
4
19
18
9
18
5
6
19
2
7
7
9
7
19
3
4
8
5
7
3
20
25
7
20
3
19
19
18
19
19
4
8
20
3
19
20
2
20
20
6
2
19
25
9
7
19
18
19
19
19
19
19
20
24
5
5
2
3
20
3
8
2
3
4
1
19
9
19
7
4
28
20
5
20
27
20
7
3
20
20
23
1
21
22
5
21
6
5
6
5
21
22
22
22
21
22
21
20
20
20
9
4
6
4
7
21
2
7
3
7
20
9
21
9
20
20
21
1
19
18
1
2
3
22
9
20
19
7
20
21
5
6
2
20
8
9
8
20
20
7
7
19
7
3
23
5
19
1
19
5
8
19
7
7
21
9
21
21
20
5
6
9
3
8
4
18
18
18
7
19
5
3
8
19
19
22
9
6
6
20
7
20
9
6
21
3
20
5
2
21
23
20
6
20
20
19
19
19
19
8
21
20
7
7
8
21
22
8
21
6
21
4
4
20
21
21
24
24
21
21
