cidade;uf;tempo;temperatura;temperatura_max;temperatura_min;nebulosidade;umidade;vento;horario_por_sol;pesca;melhor_horario_pesca;altura_maior_onda;texto_onda;qtd_navios_porto;qtd_navios_chegando;data
Angra dos Reis;RJ;céu parcialmente nublado;19;19;19;3;76;32;17:41;Bom;18:32 - 20:32;1,0;"Horários de maré alta: 3:46am (1,0m) e 4:41pm (1,0m).
Horários de maré baixa: 11:26am (0,0m) e 11:12pm (0,3m)";;;13/08/2022
Aracaju;SE;períodos de chuva ao longo do dia;24;26;24;78;80;23;17:25;Bom;18:10 - 20:10;2,3;"Horários de maré alta: 5:07am (2,3m) e 5:31pm (2,3m).
Horários de maré baixa: 12:19pm (0,0m) e 11:55pm (0,0m)";;;13/08/2022
Arraial do Cabo;RJ;sol;21;21;21;0;67;35;17:32;Bom;18:22 - 20:22;1,1;"Horários de maré alta: 3:14am (1,1m) e 4:09pm (1,1m).
Horários de maré baixa: 10:51am (0,0m) e 10:37pm (0,4m)";;;13/08/2022
Balneï¿½rio Camboriu;SC;céu parcialmente nublado;17;18;17;62;94;21;17:53;Bom;18:46 - 20:46;0,9;"Horários de maré alta: 3:19am (0,9m) e 4:14pm (0,9m).
Horários de maré baixa: 11:02am (0,0m) e 10:48pm (0,3m)";;;13/08/2022
Barreirinhas;MA;céu parcialmente nublado;27;27;27;11;79;38;17:55;Bom;18:38 - 20:38;2,6;"Horários de maré alta: 6:00am (2,6m) e 6:26pm (2,5m).
Horário de maré baixa: 6:43am (2,6m)";;;13/08/2022
Bertioga;SP;céu parcialmente nublado;19;19;19;2;83;27;17:47;Bom;18:39 - 20:39;1,4;"Horários de maré alta: 3:04am (1,4m) e 3:42pm (1,4m).
Horários de maré baixa: 10:11am (0,0m) e 9:52pm (0,5m)";;;13/08/2022
Bombinhas;SC;períodos de chuva ao longo do dia;17;18;17;71;94;22;17:53;Bom;18:46 - 20:46;0,9;"Horários de maré alta: 3:49am (0,9m) e 4:44pm (0,9m).
Horários de maré baixa: 11:14am (0,0m) e 11:00pm (0,3m)";;;13/08/2022
Bï¿½zios;RJ;sol;21;21;21;0;67;33;17:32;Bom;18:22 - 20:22;1,2;"Horários de maré alta: 3:12am (1,2m) e 4:07pm (1,2m).
Horários de maré baixa: 11:41am (0,0m) e 11:27pm (0,4m)";;;13/08/2022
Cabo Frio;RJ;sol;21;21;21;0;67;35;17:32;Bom;18:22 - 20:22;1,1;"Horários de maré alta: 3:14am (1,1m) e 4:09pm (1,1m).
Horários de maré baixa: 10:51am (0,0m) e 10:37pm (0,4m)";;;13/08/2022
Enseada;SP;céu parcialmente nublado;17;18;17;31;85;39;17:43;Bom;18:34 - 20:34;1,1;"Horários de maré alta: 3:39am (1,1m) e 4:34pm (1,1m).
Horários de maré baixa: 9:22am (0,0m) e 9:08pm (0,4m)";;;13/08/2022
