cidade;uf;tempo;temperatura;temperatura_max;temperatura_min;nebulosidade;umidade;vento;horario_por_sol;pesca;melhor_horario_pesca;altura_maior_onda;texto_onda;qtd_navios_porto;qtd_navios_chegando;data
Angra dos Reis;RJ;períodos de chuva ao longo do dia;17;18;17;78;72;10;17:44;Mediano;18:53 - 20:53;0,7;"Horário de maré alta: 12:49pm (0,7m) e 10:36pm (0,6m).
Horários de maré baixa: 6:04am (0,3m) e 6:47pm (0,4m)";;;21/08/2022
Aracaju;SE;chuva fraca;23;25;23;66;78;28;17:26;Mediano;18:22 - 20:22;0,8;"Horário de maré alta: 7:26am (0,7m).
Horários de maré baixa: 6:07am (0,7m) e 7:06pm (0,8m)";;;21/08/2022
Arraial do Cabo;RJ;céu parcialmente nublado;19;19;19;79;56;18;17:35;Mediano;18:43 - 20:43;0,8;"Horário de maré alta: 12:17pm (0,8m) e 10:04pm (0,6m).
Horários de maré baixa: 5:29am (0,3m) e 6:12pm (0,4m)";;;21/08/2022
Balneario Camboriu;SC;céu nublado;13;17;13;96;83;9;17:57;Mediano;19:11 - 21:11;0,6;"Horário de maré alta: 12:22pm (0,6m) e 10:09pm (0,5m).
Horários de maré baixa: 5:40am (0,3m) e 6:23pm (0,4m)";;;21/08/2022
Barreirinhas;MA;céu parcialmente nublado;26;27;26;40;78;36;17:53;Mediano;18:44 - 20:44;0,9;"Horário de maré alta: 7:20am (0,8m).
Horários de maré baixa: 6:03am (0,7m) e 6:31pm (0,9m)";;;21/08/2022
Bertioga;SP;céu parcialmente nublado;17;19;17;75;73;22;17:50;Mediano;19:01 - 21:01;1,2;"Horários de maré alta: 12:58am (0,7m) e 12:34pm (1,0m).
Horários de maré baixa: 12:53pm (1,2m) e 5:56pm (0,6m)";;;21/08/2022
Bombinhas;SC;céu nublado;12;18;12;91;84;6;17:56;Mediano;19:11 - 21:11;0,6;"Horário de maré alta: 12:52pm (0,6m) e 10:39pm (0,5m).
Horários de maré baixa: 5:52am (0,2m) e 6:35pm (0,4m)";;;21/08/2022
Buzios;RJ;céu parcialmente nublado;19;19;19;52;58;24;17:34;Mediano;18:43 - 20:43;0,8;"Horário de maré alta: 12:15pm (0,8m) e 10:02pm (0,7m).
Horários de maré baixa: 6:19am (0,3m) e 7:02pm (0,5m)";;;21/08/2022
Cabo Frio;RJ;céu parcialmente nublado;19;19;19;79;56;18;17:35;Mediano;18:43 - 20:43;0,8;"Horário de maré alta: 12:17pm (0,8m) e 10:04pm (0,6m).
Horários de maré baixa: 5:29am (0,3m) e 6:12pm (0,4m)";;;21/08/2022
Enseada;SP;céu parcialmente nublado;14;18;14;62;80;18;17:46;Mediano;18:55 - 20:55;0,8;"Horário de maré alta: 12:42pm (0,8m) e 10:29pm (0,7m).
Horários de maré baixa: 4:00am (0,3m) e 4:43pm (0,5m)";;;21/08/2022
Fernando de Noronha;PE;chuva fraca;26;27;26;56;74;37;18:13;Mediano;19:03 - 21:03;1,5;"Horários de maré alta: 12:21am (1,4m) e 1:33pm (1,5m).
Horários de maré baixa: 8:11am (0,7m) e 7:51pm (0,8m)";;;21/08/2022
