cidade;uf;tempo;temperatura;temperatura_max;temperatura_min;nebulosidade;umidade;vento;horario_por_sol;pesca;melhor_horario_pesca;altura_maior_onda;texto_onda;qtd_navios_porto;qtd_navios_chegando;data
Ponta Negra;RN;céu parcialmente nublado;24;27;24;44;75;33;17:23;Mediano;22:10 - 12:10;1,6;"Horário de maré alta: 9:38am (1,6m) e 8:49pm (1,6m).
Horários de maré baixa: 2:21am (0,4m) e 2:52pm (0,6m)";;;18/08/2022
Porto Seguro;BA;períodos de chuva ao longo do dia;23;24;23;76;75;31;17:28;Mediano;22:42 - 12:42;1,6;"Horário de maré alta: 9:45am (1,6m) e 8:56pm (1,6m).
Horários de maré baixa: 2:26am (0,4m) e 2:57pm (0,6m)";;;18/08/2022
Praia Grande;SP;céu parcialmente nublado;22;23;22;12;80;44;17:50;Mediano;;0,9;"Horários de maré alta: 5:27am (0,9m) e 5:46pm (0,8m).
Horários de maré baixa: 10:24am (0,7m) e 10:34pm (0,5m)";;;18/08/2022
Recife;PE;céu parcialmente nublado;24;25;24;41;67;36;17:19;Mediano;22:12 - 12:12;1,6;"Horário de maré alta: 9:10am (1,6m) e 8:21pm (1,6m).
Horários de maré baixa: 1:51am (0,4m) e 2:22pm (0,6m)";;;18/08/2022
Rio das Ostras;RJ;sol;22;26;22;0;75;41;17:33;Mediano;;0,9;"Horário de maré alta: 12:43am (0,5m) e 7:13pm (0,9m).
Horários de maré baixa: 12:04am (0,5m) e 12:45pm (0,5m)";;;18/08/2022
Rio de Janeiro;RJ;céu parcialmente nublado;26;28;26;3;49;23;17:38;Mediano;;0,9;"Horário de maré alta: 7:31am (0,9m) e 6:50pm (0,9m).
Horários de maré baixa: 1:12am (0,5m) e 1:53pm (0,5m)";146;47;18/08/2022
Salvador;BA;chuva fraca;23;25;23;55;77;29;17:30;Mediano;22:35 - 12:35;1,6;"Horário de maré alta: 9:12am (1,6m) e 8:23pm (1,6m).
Horários de maré baixa: 1:59am (0,4m) e 2:30pm (0,6m)";;;18/08/2022
Santos;SP;céu parcialmente nublado;22;23;22;7;76;21;17:50;Mediano;;0,9;"Horários de maré alta: 5:27am (0,9m) e 5:46pm (0,8m).
Horários de maré baixa: 10:24am (0,7m) e 10:34pm (0,5m)";130;162;18/08/2022
Sao Luis;MA;céu parcialmente nublado;26;28;26;16;78;27;18:02;Mediano;22:43 - 12:43;1,3;"Horário de maré alta: 6:16am (1,3m).
Horários de maré baixa: 5:29am (1,0m) e 5:48pm (1,3m)";;;18/08/2022
Sao Mateus;ES;céu parcialmente nublado;23;24;23;33;76;32;17:29;Mediano;22:49 - 12:49;1,6;"Horário de maré alta: 10:00am (1,6m) e 9:11pm (1,6m).
Horários de maré baixa: 2:40am (0,4m) e 3:11pm (0,6m)";;;18/08/2022
Sao SebastiÃ£o;SP;céu parcialmente nublado;22;23;22;6;75;32;17:46;Mediano;;0,9;"Horários de maré alta: 7:04am (0,9m) e 7:18pm (0,8m).
Horários de maré baixa: 12:27am (0,5m) e 9:55pm (0,5m)";;;18/08/2022
Tibau do Sul;RN;chuva fraca;24;26;24;54;77;42;17:22;Mediano;21:21 - 23:21;1,6;"Horário de maré alta: 9:38am (1,6m) e 8:49pm (1,6m).
Horários de maré baixa: 2:21am (0,4m) e 2:52pm (0,6m)";;;18/08/2022
Ubatuba;SP;céu parcialmente nublado;21;26;21;4;74;21;17:45;Mediano;;1,0;"Horários de maré alta: 6:45am (1,0m) e 6:59pm (0,9m).
Horários de maré baixa: 12:26am (0,5m) e 9:54pm (0,5m)";;;18/08/2022
Vila Velha;ES;céu parcialmente nublado;23;23;23;9;76;41;17:30;Mediano;22:54 - 12:54;1,1;"Horário de maré alta: 9:44am (1,1m) e 8:55pm (1,1m).
Horários de maré baixa: 2:26am (0,3m) e 2:57pm (0,5m)";;;18/08/2022
Rio Grande;RS;céu parcialmente nublado;11;13;11;16;62;42;18:03;Mediano;17:02 - 19:02;0,9;"Horários de maré alta: 7:24am (0,9m) e 6:27pm (0,7m).
Horários de maré baixa: 12:42pm (0,5m) e 11:40pm (0,3m)";71;31;18/08/2022
Suape;PE;céu parcialmente nublado;24;25;24;69;70;26;17:19;Mediano;22:13 - 12:13;1,6;"Horário de maré alta: 9:10am (1,6m) e 8:21pm (1,6m).
Horários de maré baixa: 1:51am (0,4m) e 2:22pm (0,6m)";22;21;18/08/2022
Itajai;PE;céu parcialmente nublado;24;25;24;69;70;26;17:19;Mediano;22:13 - 12:13;1,6;"Horário de maré alta: 9:10am (1,6m) e 8:21pm (1,6m).
Horários de maré baixa: 1:51am (0,4m) e 2:22pm (0,6m)";44;5;18/08/2022
